Name,DateOfSearch,Checkin,Checkout,NumOfWeekendDays,Nights,District,Score,Rating,Review,Includes,Refundable,Price
Empire Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.4,Good,"(1,600 reviews)",Pool,0,$249 total
Park Central Hotel New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.0,Very Good,"(2,300 reviews)",,Fully refundable,$304 total
Hilton New York JFK Airport,2023/2/27,2023/3/21,2023/3/22,0,1,Queens,7.4,Good,"(1,065 reviews)",Airport shuttle included,0,$193 total
Bentley Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,6.8,"(1,199 reviews)",,,0,$187 total
Archer Hotel New York,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,9.0,Wonderful,"(1,042 reviews)",,0,$312 total
Hotel Riu Plaza New York Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,"(3,317 reviews)",Breakfast included,Fully refundable,$334 total
The New Yorker A Wyndham Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.0,Very Good,"(3,030 reviews)",,Fully refundable,$236 total
Latisha luxury place,2023/2/27,2023/3/21,2023/3/22,0,1,Entire home,,,,,0,$157 total
Millennium Hilton New York One UN Plaza,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.0,Very Good,"(1,624 reviews)",,0,$374 total
TownePlace Suites by Marriott New York Brooklyn,2023/2/27,2023/3/21,2023/3/22,0,1,Brooklyn,8.6,Excellent,(89 reviews),Breakfast included,0,$305 total
Freehand New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.4,Very Good,"(1,052 reviews)",,0,$243 total
"Club Quarters, Times Square - Midtown",2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,8.4,Very Good,"(1,886 reviews)",,0,$255 total
Hilton Garden Inn New York/Times Square Central,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.2,Very Good,"(1,081 reviews)",,0,$271 total
Hotel 32 32,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.0,Very Good,"(1,410 reviews)",,0,$258 total
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.8,Good,"(1,074 reviews)",Breakfast included,Fully refundable,$203 total
Hudson River Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.0,Good,"(1,030 reviews)",,0,$153 total
Truss Hotel Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.8,Good,(497 reviews),,Fully refundable,$217 total
The Lex NYC,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,"(1,045 reviews)",Breakfast included,0,$187 total
The Maritime Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.4,Exceptional,"(1,050 reviews)",Breakfast included,Fully refundable,$277 total
Four Points By Sheraton New York Downtown,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.4,Good,"(1,104 reviews)",,0,$178 total
Hyatt Centric Midtown 5th Avenue New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,(335 reviews),,Fully refundable,$278 total
INNSiDE by Meliá New York Nomad,2023/2/27,2023/3/21,2023/3/22,0,1,Chelsea,8.8,Excellent,"(1,416 reviews)",,0,$266 total
"Club Quarters Hotel, Grand Central",2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.2,Very Good,"(1,209 reviews)",,0,$236 total
The Gotham Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.2,Very Good,"(1,021 reviews)",,0,$287 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,"(1,047 reviews)",,Fully refundable,$227 total
Four Points by Sheraton Midtown-Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.4,Very Good,"(1,041 reviews)",,Fully refundable,$276 total
Americana Inn,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,6.6,"(1,064 reviews)",,,0,$132 total
Hyatt Regency JFK Airport at Resorts World New York,2023/2/27,2023/3/21,2023/3/22,0,1,Queens,8.6,Excellent,(207 reviews),,Fully refundable,$281 total
The Standard East Village,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,"(1,038 reviews)",,Fully refundable,$519 total
Fitzpatrick Grand Central,2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.0,Wonderful,"(1,025 reviews)",,Fully refundable,$254 total
Chelsea Inn,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.6,Good,"(1,031 reviews)",,0,$215 total
St Marks Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,6.2,(934 reviews),,,Fully refundable,$120 total
DoubleTree by Hilton New York City - Chelsea,2023/2/27,2023/3/21,2023/3/22,0,1,Chelsea,7.6,Good,"(1,073 reviews)",,0,$223 total
YOTEL New York Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.0,Good,"(2,369 reviews)",,Fully refundable,$247 total
DoubleTree by Hilton New York Downtown,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.2,Good,"(1,220 reviews)",,Fully refundable,$227 total
Pestana Park Avenue,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,(321 reviews),,Fully refundable,$264 total
The Rockaway Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,Queens,8.8,Excellent,(171 reviews),Pool,0,$275 total
Virgin Hotels New York City,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,(9 reviews),Pool,Fully refundable,$497 total
Millennium Downtown New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.4,Good,"(2,619 reviews)",,Fully refundable,$318 total
New York Hilton Midtown,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,8.0,Very Good,"(1,129 reviews)",,0,$349 total
Warwick New York,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,8.0,Very Good,"(1,300 reviews)",,Fully refundable,$324 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",2023/2/27,2023/3/21,2023/3/22,0,1,Queens,7.2,Good,"(1,063 reviews)",Breakfast included,0,$130 total
Radio Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,(322 reviews),,0,$184 total
Pod Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,"(3,148 reviews)",,Fully refundable,$220 total
Hotel Boutique at Grand Central,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.4,Very Good,"(1,042 reviews)",,0,$236 total
Hilton Garden Inn New York/West 35th Street,2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.0,Wonderful,"(1,133 reviews)",,0,$276 total
Royalton New York,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,8.0,Very Good,"(1,050 reviews)",,Fully refundable,$276 total
Fairfield Inn by Marriott JFK Airport,2023/2/27,2023/3/21,2023/3/22,0,1,Queens,8.4,Very Good,"(1,096 reviews)",Breakfast included,0,$178 total
The Fifty Sonesta Select New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.2,Very Good,"(1,075 reviews)",,Fully refundable,$277 total
Walker Hotel Tribeca,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,(367 reviews),,Fully refundable,$239 total
"Staypineapple, An Artful Hotel, Midtown",2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.0,Wonderful,(933 reviews),,Fully refundable,$242 total
"Hotel 50 Bowery, part of JdV by Hyatt",2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.0,Wonderful,"(1,040 reviews)",,Fully refundable,$283 total
The Bryant Park Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,9.0,Wonderful,"(1,058 reviews)",,Fully refundable,$375 total
Sanctuary Hotel New York,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.4,Very Good,"(1,028 reviews)",,0,$292 total
Kixby,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.8,Excellent,"(1,065 reviews)",,0,$284 total
Hampton Inn Manhattan/Times Square Central,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.6,Excellent,"(1,555 reviews)",Breakfast included,Fully refundable,$266 total
Wyndham Garden Chinatown,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.8,Good,"(1,025 reviews)",,0,$198 total
The Westin New York at Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.6,Excellent,"(2,307 reviews)",,0,$388 total
The Jane Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.4,Very Good,"(1,034 reviews)",,Fully refundable,$155 total
Hyatt Grand Central New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,7.8,Good,"(1,922 reviews)",,0,$358 total
Hampton Inn New York - LaGuardia Airport,2023/2/27,2023/3/21,2023/3/22,0,1,Queens,8.4,Very Good,"(1,039 reviews)",Breakfast included,0,$188 total
Concorde Hotel New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.0,Wonderful,(971 reviews),,0,$327 total
Hotel Edison Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,7.8,Good,"(3,039 reviews)",Breakfast included,Fully refundable,$256 total
Trump International Hotel & Tower New York,2023/2/27,2023/3/21,2023/3/22,0,1,New York,9.2,Wonderful,"(1,029 reviews)",Pool,0,$753 total
"InterContinental New York Barclay, an IHG Hotel",2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,"(1,048 reviews)",,Fully refundable,$440 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.2,Very Good,"(1,016 reviews)",,0,$234 total
The Moore,2023/2/27,2023/3/21,2023/3/22,0,1,Chelsea,9.2,Wonderful,(80 reviews),,Fully refundable,$256 total
Hyatt Centric Times Square New York,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,9.0,Wonderful,"(1,087 reviews)",,0,$456 total
Hilton Club The Quin New York,2023/2/27,2023/3/21,2023/3/22,0,1,Central New York City,8.6,Excellent,"(1,040 reviews)",,0,$354 total
Doubletree by Hilton New York Times Square South,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.4,Very Good,"(2,109 reviews)",,Fully refundable,$250 total
Millennium Hilton New York One UN Plaza,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.0,Very Good,"(1,624 reviews)",,0,$374 total
Hotel Belleclaire,2023/2/27,2023/3/21,2023/3/22,0,1,Upper West Side,8.4,Very Good,"(1,118 reviews)",Breakfast included,Fully refundable,$270 total
The Leo House,2023/2/27,2023/3/21,2023/3/22,0,1,Chelsea,7.8,Good,(664 reviews),Breakfast included,0,$162 total
Arthouse Hotel New York City,2023/2/27,2023/3/21,2023/3/22,0,1,Upper West Side,8.4,Very Good,"(1,223 reviews)",,0,$277 total
The Belvedere Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.6,Excellent,"(2,676 reviews)",,Fully refundable,$314 total
Hilton New York Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.2,Very Good,"(1,175 reviews)",,0,$310 total
Chelsea Pines Inn,2023/2/27,2023/3/21,2023/3/22,0,1,New York,8.2,Very Good,(781 reviews),,0,$209 total
RIU Plaza Manhattan Times Square,2023/2/27,2023/3/21,2023/3/22,0,1,Theater District,8.8,Excellent,"(1,799 reviews)",,Fully refundable,$346 total
Chelsea Savoy Hotel,2023/2/27,2023/3/21,2023/3/22,0,1,Chelsea,8.6,Excellent,"(1,113 reviews)",Breakfast included,Fully refundable,$232 total
"PUBLIC, an Ian Schrager hotel",2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(1,593 reviews)",,0,$348 total
"Element New York Times Square West, a Marriott Hotel",2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.8,Good,"(1,119 reviews)",Breakfast included,0,$199 total
Paramount Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,7.2,Good,"(1,247 reviews)",,0,$201 total
Artezen Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.4,Exceptional,"(1,522 reviews)",,0,$214 total
Arlo NoMad,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(1,739 reviews)",,0,$276 total
Hampton Inn NY-JFK,2023/2/27,2023/3/21,2023/3/23,0,2,Queens,7.6,Good,"(1,293 reviews)",Breakfast included,0,$175 total
Arlo SoHo,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,"(1,439 reviews)",,0,$255 total
Ameritania Hotel at Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.2,Very Good,"(1,264 reviews)",,0,$237 total
Park Terrace Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,9.2,Wonderful,"(1,075 reviews)",,0,$312 total
citizenM New York Bowery,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.2,Wonderful,"(1,510 reviews)",,Fully refundable,$278 total
Comfort Inn JFK Airport,2023/2/27,2023/3/21,2023/3/23,0,2,Queens,8.0,Very Good,"(1,404 reviews)",Breakfast included,0,$153 total
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,9.2,Wonderful,"(1,350 reviews)",,0,$262 total
Margaritaville Resort Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,9.0,Wonderful,"(1,629 reviews)",Pool,Fully refundable,$273 total
Millennium Hotel Broadway Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,7.0,Good,"(6,339 reviews)",,Fully refundable,$253 total
Hilton New York Fashion District,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,8.0,Very Good,"(1,018 reviews)",,0,$266 total
citizenM New York Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,9.2,Wonderful,"(1,472 reviews)",,Fully refundable,$266 total
Empire Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.4,Good,"(1,600 reviews)",Pool,0,$249 total
Archer Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,9.0,Wonderful,"(1,042 reviews)",,0,$312 total
Hotel 32 32,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(1,410 reviews)",,0,$258 total
Park Central Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(2,300 reviews)",,Fully refundable,$304 total
DoubleTree by Hilton New York Times Square West,2023/2/27,2023/3/21,2023/3/23,0,2,New York,6.6,"(2,528 reviews)",,,0,$198 total
Bentley Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,6.8,"(1,199 reviews)",,,0,$187 total
Hotel Riu Plaza New York Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,"(3,317 reviews)",Breakfast included,Fully refundable,$334 total
"Club Quarters, Times Square - Midtown",2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,8.4,Very Good,"(1,886 reviews)",,0,$255 total
Sky Hotel Flushing/LaGuardia Airport,2023/2/27,2023/3/21,2023/3/23,0,2,Flushing,,,,,0,$94 total
Freehand New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.4,Very Good,"(1,052 reviews)",,0,$243 total
Hilton New York JFK Airport,2023/2/27,2023/3/21,2023/3/23,0,2,Queens,7.4,Good,"(1,065 reviews)",Airport shuttle included,0,$193 total
The New Yorker A Wyndham Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(3,030 reviews)",,Fully refundable,$236 total
Truss Hotel Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.8,Good,(497 reviews),,Fully refundable,$217 total
Hudson River Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.0,Good,"(1,030 reviews)",,0,$153 total
The Gotham Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,"(1,021 reviews)",,0,$287 total
The Maritime Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.4,Exceptional,"(1,050 reviews)",Breakfast included,Fully refundable,$277 total
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.8,Good,"(1,074 reviews)",Breakfast included,Fully refundable,$203 total
The Lex NYC,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,"(1,045 reviews)",Breakfast included,0,$187 total
Hyatt Centric Midtown 5th Avenue New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,(335 reviews),,Fully refundable,$278 total
Fitzpatrick Grand Central,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,"(1,025 reviews)",,Fully refundable,$254 total
Hilton Garden Inn New York/Times Square Central,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.2,Very Good,"(1,081 reviews)",,0,$271 total
"Club Quarters Hotel, Grand Central",2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,"(1,209 reviews)",,0,$236 total
Four Points By Sheraton New York Downtown,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.4,Good,"(1,104 reviews)",,0,$178 total
INNSiDE by Meliá New York Nomad,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,8.8,Excellent,"(1,416 reviews)",,0,$266 total
Chelsea Inn,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.6,Good,"(1,031 reviews)",,0,$215 total
Americana Inn,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,6.6,"(1,064 reviews)",,,0,$132 total
YOTEL New York Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.0,Good,"(2,369 reviews)",,Fully refundable,$247 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,"(1,047 reviews)",,Fully refundable,$227 total
Warwick New York,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,8.0,Very Good,"(1,300 reviews)",,Fully refundable,$324 total
Four Points by Sheraton Midtown-Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.4,Very Good,"(1,041 reviews)",,Fully refundable,$276 total
Pestana Park Avenue,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,(321 reviews),,Fully refundable,$264 total
St Marks Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,6.2,(934 reviews),,,Fully refundable,$120 total
Radio Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,(322 reviews),,0,$184 total
DoubleTree by Hilton New York City - Chelsea,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,7.6,Good,"(1,073 reviews)",,0,$223 total
Millennium Downtown New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.4,Good,"(2,619 reviews)",,Fully refundable,$318 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",2023/2/27,2023/3/21,2023/3/23,0,2,Queens,7.2,Good,"(1,063 reviews)",Breakfast included,0,$130 total
DoubleTree by Hilton New York Downtown,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.2,Good,"(1,220 reviews)",,Fully refundable,$227 total
Hotel Boutique at Grand Central,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.4,Very Good,"(1,043 reviews)",,0,$236 total
The Fifty Sonesta Select New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,"(1,075 reviews)",,Fully refundable,$277 total
Walker Hotel Tribeca,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,(367 reviews),,Fully refundable,$239 total
Pod Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,"(3,148 reviews)",,Fully refundable,$220 total
The Bryant Park Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,9.0,Wonderful,"(1,058 reviews)",,Fully refundable,$375 total
Royalton New York,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,8.0,Very Good,"(1,050 reviews)",,Fully refundable,$276 total
New York Hilton Midtown,2023/2/27,2023/3/21,2023/3/23,0,2,Central New York City,8.0,Very Good,"(1,129 reviews)",,0,$349 total
"Staypineapple, An Artful Hotel, Midtown",2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,(933 reviews),,Fully refundable,$242 total
Sanctuary Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.4,Very Good,"(1,028 reviews)",,0,$292 total
"Hotel 50 Bowery, part of JdV by Hyatt",2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,"(1,040 reviews)",,Fully refundable,$283 total
Trump International Hotel & Tower New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.2,Wonderful,"(1,029 reviews)",Pool,0,$753 total
Fairfield Inn by Marriott JFK Airport,2023/2/27,2023/3/21,2023/3/23,0,2,Queens,8.4,Very Good,"(1,096 reviews)",Breakfast included,0,$178 total
Kixby,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,"(1,065 reviews)",,0,$284 total
Concorde Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,(971 reviews),,0,$327 total
Hilton Garden Inn New York/West 35th Street,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,"(1,133 reviews)",,0,$276 total
Wyndham Garden Chinatown,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.8,Good,"(1,025 reviews)",,0,$198 total
The Moore,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,9.2,Wonderful,(80 reviews),,Fully refundable,$256 total
The Jane Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.4,Very Good,"(1,034 reviews)",,Fully refundable,$155 total
Hyatt Grand Central New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.8,Good,"(1,922 reviews)",,0,$358 total
Hampton Inn Manhattan/Times Square Central,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.6,Excellent,"(1,555 reviews)",Breakfast included,Fully refundable,$266 total
Chelsea Pines Inn,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,(781 reviews),,0,$209 total
Chelsea Savoy Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,8.6,Excellent,"(1,113 reviews)",Breakfast included,Fully refundable,$232 total
The Leo House,2023/2/27,2023/3/21,2023/3/23,0,2,Chelsea,7.8,Good,(664 reviews),Breakfast included,0,$162 total
The Westin New York at Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.6,Excellent,"(2,307 reviews)",,0,$388 total
The Belvedere Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,"(2,676 reviews)",,Fully refundable,$314 total
Hotel Edison Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,7.8,Good,"(3,039 reviews)",Breakfast included,Fully refundable,$256 total
"InterContinental New York Barclay, an IHG Hotel",2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.6,Excellent,"(1,048 reviews)",,Fully refundable,$440 total
The Marlton Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,Greenwich Village,9.0,Wonderful,"(1,031 reviews)",Breakfast included,Fully refundable,$312 total
Hampton Inn New York - LaGuardia Airport,2023/2/27,2023/3/21,2023/3/23,0,2,Queens,8.4,Very Good,"(1,039 reviews)",Breakfast included,0,$188 total
Hotel Belleclaire,2023/2/27,2023/3/21,2023/3/23,0,2,Upper West Side,8.4,Very Good,"(1,118 reviews)",Breakfast included,Fully refundable,$270 total
RIU Plaza Manhattan Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.8,Excellent,"(1,799 reviews)",,Fully refundable,$346 total
Arthouse Hotel New York City,2023/2/27,2023/3/21,2023/3/23,0,2,Upper West Side,8.4,Very Good,"(1,223 reviews)",,0,$277 total
Comfort Inn Manhattan - Midtown West,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.4,Good,"(1,072 reviews)",Breakfast included,0,$178 total
Ramada by Wyndham New York Times Square West,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.6,Good,"(1,025 reviews)",Breakfast included,0,$182 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.2,Very Good,"(1,016 reviews)",,0,$234 total
Millennium Hilton New York One UN Plaza,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.0,Very Good,"(1,624 reviews)",,0,$374 total
Doubletree by Hilton New York Times Square South,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.4,Very Good,"(2,109 reviews)",,Fully refundable,$250 total
Hilton New York Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.2,Very Good,"(1,175 reviews)",,0,$310 total
The Benjamin Royal Sonesta New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,8.8,Excellent,"(1,024 reviews)",,Fully refundable,$391 total
Cachet Boutique New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.6,Good,"(1,062 reviews)",,Fully refundable,$232 total
Roxy Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,"(1,059 reviews)",,Fully refundable,$440 total
The Solita Soho Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,New York,7.6,Good,"(1,017 reviews)",,0,$181 total
The Kitano Hotel New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.0,Wonderful,"(1,120 reviews)",,Fully refundable,$358 total
Washington Square Hotel,2023/2/27,2023/3/21,2023/3/23,0,2,Greenwich Village,9.0,Wonderful,"(1,074 reviews)",,Fully refundable,$280 total
Hilton Club West 57th Street New York,2023/2/27,2023/3/21,2023/3/23,0,2,New York,9.2,Wonderful,(223 reviews),,0,$354 total
New York Marriott Marquis,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,8.8,Excellent,"(1,833 reviews)",,0,$549 total
The Gallivant Times Square,2023/2/27,2023/3/21,2023/3/23,0,2,Theater District,6.6,"(1,813 reviews)",,,Fully refundable,$261 total
Hotel 32 32,2023/2/27,2023/3/21,2023/3/24,0,3,New York,8.0,Very Good,"(1,410 reviews)",,0,$258 total
Conrad New York Midtown,2023/2/27,2023/3/21,2023/3/24,0,3,New York,8.4,Very Good,"(1,014 reviews)",,0,$588 total
Smyth Tribeca,2023/2/27,2023/3/21,2023/3/24,0,3,New York,8.8,Excellent,(611 reviews),,0,$384 total
"PUBLIC, an Ian Schrager hotel",2023/2/27,2023/3/21,2023/3/24,0,3,New York,8.0,Very Good,"(1,593 reviews)",,0,$348 total
"Element New York Times Square West, a Marriott Hotel",2023/2/27,2023/3/21,2023/3/24,0,3,New York,7.8,Good,"(1,119 reviews)",Breakfast included,0,$199 total
Artezen Hotel,2023/2/27,2023/3/21,2023/3/24,0,3,New York,9.4,Exceptional,"(1,522 reviews)",,0,$214 total
Truss Hotel Times Square,2023/2/27,2023/3/21,2023/3/24,0,3,New York,7.8,Good,(497 reviews),,Fully refundable,$217 total
Arlo SoHo,2023/2/27,2023/3/21,2023/3/24,0,3,New York,8.2,Very Good,"(1,439 reviews)",,0,$255 total
Moxy Brooklyn Willamsburg,2023/2/27,2023/3/21,2023/3/24,0,3,Williamsburg,,,,,0,$234 total
Ameritania Hotel at Times Square,2023/2/27,2023/3/21,2023/3/24,0,3,Theater District,8.2,Very Good,"(1,264 reviews)",,0,$237 total
Empire Hotel,2023/2/27,2023/3/21,2023/3/24,0,3,New York,7.4,Good,"(1,600 reviews)",Pool,0,$249 total
